"id";"date";"month_name";"year";"type";"country";"area";"location";"activity";"sex";"fatal"
1;"1923-05-22";"May";1923;"Unprovoked";"Australia";"Queensland";"Great Barrier Reef";"Water leisure activity";"M";"Y"
2;"1914-02-03";"February";1914;"Unprovoked";"Australia";"New South Wales";"Paramatta River";"Recreational water sport";"M";"N"
3;"1900-01-28";"January";1900;"Unprovoked";"Australia";"New South Wales";"Lane Cove River, Sydney Harbor (Estuary)";"Water leisure activity";"M";"N"
4;"1905-08-24";"August";1905;"Invalid";"Egypt";"Suez Canal";"Port Said";"Sinking or failure of vessel";"Not specified";"Not specified"
5;"1914-02-09";"February";1914;"Unprovoked";"Australia";"South Australia";"Marion Bay";"Water leisure activity";"M";"N"
6;"1914-03-03";"March";1914;"Unprovoked";"USA";"Hawaii";"Honomu, Hawai'i";"Irresponsible or dangerous behavior with sharks";"M";"Y"
7;"1914-03-14";"March";1914;"Invalid";"USA";"Florida";"St. Augustine, St Johns County";"Water leisure activity";"M";"Y"
8;"1900-07-01";"July";1900;"Provoked";"USA";"Connecticut";"Bridgeport, Fairfield County";"Not specified";"Not specified";"N"
9;"1914-05-14";"May";1914;"Provoked";"USA";"Florida";"Boca Ciega Bay, Pinellas County";"Fishing, catching, or hunting";"F";"N"
10;"1900-07-14";"July";1900;"Invalid";"USA";"Hawaii";"Makapu'u Point, O'ahu";"Fishing, catching, or hunting";"M";"Y"
11;"1900-07-31";"July";1900;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Volosko, Opatija";"Water leisure activity";"M";"Y"
12;"1914-05-31";"May";1914;"Sea Disaster";"New Caledonia";"South Province";"Noumea";"Water leisure activity";"M";"Y"
13;"1914-06-10";"June";1914;"Unprovoked";"Australia";"Victoria";"Sandringham";"Water leisure activity";"M";"Y"
14;"1923-05-23";"May";1923;"Unprovoked";"Australia";"Western Australia";"Southgates, near Geraldton";"Water leisure activity";"M";"N"
15;"1914-06-12";"June";1914;"Boating";"Montenegro";"Adriatic Sea";"Between St. Stjepan and Budva";"Fishing, catching, or hunting";"M";"N"
16;"1900-08-21";"August";1900;"Unprovoked";"USA";"North Carolina";"Southport, Brunswick County";"Water leisure activity";"M";"N"
17;"1914-07-07";"July";1914;"Unprovoked";"Croatia";"Primorje-Gorski Kotar County";"Rijeka";"Not specified";"M";"N"
18;"1905-09-29";"September";1905;"Unprovoked";"Australia";"New South Wales";"Waverly, Sydney";"Water leisure activity";"M";"Y"
19;"1914-07-09";"July";1914;"Provoked";"USA";"Louisiana";"New Orleans";"Fishing, catching, or hunting";"M";"N"
20;"1923-06-06";"June";1923;"Boating";"Mexico";"Vera Cruz";"Outside Vera Cruz Harbor";"Sinking or failure of vessel";"Not specified";"N"
21;"1914-07-15";"July";1914;"Unprovoked";"Croatia";"Zadar County";"Biograd na moru";"Incidents involving maintenance tasks or routine work";"F";"N"
